8/9/2022 "ADU Task Force Update" "foreign policy"
Amends a zero-dollar intergovernmental agreement with the Regional Transportation District (RTD) by adding $5,181,042, approving receipt and appropriating $813,018 of RTD funds to upgrade City sewer and drainage infrastructure in relation to the North Metro Rail Line, in Council District 9. No change to agreement duration (201313671; 202054850). The last r" infrastructure
6/29/2020 "A bill for an ordinance approving proposed Amendments to approximately ten Leases, Licenses and Concession Agreements in response to the COVID-19 health crisis, to be negotiated by the Director of Real Estate to provide relief for the tenants.
Authorizes the Division of Real Estate to negotiate and amend commercial leases in City-owned buildings to provide an additional three months of rent relief in response to the COVID-19 pandemic. The last regularly scheduled Council meeting within the 30-day review period is on 8-17-20. The Committee approved filing this item at its meeting on 7-14-20." welfare
6/29/2020 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and The Empowerment Program Inc. to provide services to individuals living with HIV/AIDS in the Denver Transitional Grant area.
Amends a contract with The Empowerment Program Inc. by adding $146,704 for a new total of $504,971 and one year for a new end date of 2-28-21 for medical case management, medical transportation services and psychosocial support services including in response to the COVID-19 pandemic, to individuals living with HIV/AIDS in the Denver Transitional Grant Area (TGA) (ENVHL" welfare
6/25/2020 "A bill for an ordinance approving a proposed Second Amendatory Agreement between the City and County of Denver and Denver Health and Hospital Authority to provide services to individuals living with HIV/AIDS in the Denver Transitional Grant area.
Amends an intergovernmental agreement with Denver Health and Hospital Authority by adding $1,296,549 for a new total of $3,797,217 and one year for a new end date of 2-28-21 to provide medical case management, mental health services, medical transportation, early intervention services, oral health care and substance abuse outpatient care and outpatie" welfare
6/25/2020 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and It Takes A Village, Inc. to provide services to individuals living with HIV/AIDS in the Denver Transitional Grant area.
Amends a contract with It Takes a Village Inc. by adding $268,117 for a new total of $782,332 and one year for a new end date of 2-28-21 to provide medical case management, psychosocial support services, substance abuse outpatient care, early intervention services and mental health services including in response to COVID-19, to individuals living with HIV/AIDS in the Denve" welfare
6/25/2020 "A resolution approving a proposed Agreement between the City and County of Denver and Discover Goodwill of Southern and Western Colorado for provide intensive case management services.
Approves a contract with Discover Goodwill of Southern and Western Colorado for $1,110,000 and for one year to provide intensive case management services to assist Colorado Works/TANF participants that need ongoing support to gain employment, deliver educational opportunities for skills advancement and/or a connection to services to reduce long term barriers, citywide (SOCSV-202055021). The last regularly sched" welfare
6/29/2020 "A resolution approving a proposed Master Services Agreement between the City and County of Denver and Zuora, Inc. for the Zuora Nine Platform Enterprise Subscription Billing software for various City agencies.
Approves a contract with Zuora, Inc. for $4,477,210 and for three years for the purchase, implementation and ongoing support of the Zuora Nine Platform Enterprise Subscription Billing software supporting various City agencies, citywide (TECHS-202055087). The last regularly scheduled Council meeting within the 30-day review period is on 8-10-20. The Committee approved filing this item at" welfare
6/29/2020 "A resolution approving a proposed Agreement between the City and County of Denver and OraLabs, Inc. for federal coronavirus relief funds to launch and administer Denver’s new personal protective equipment (PPE) program to support the ongoing recovery and survival of the city’s smallest and most vulnerable businesses and nonprofits.
Approves a contract with OraLabs, Inc. for $1,490,000 of federal coronavirus relief funds and through 12-31-20 to launch and administer Denver’s new personal protective equipment (PPE) program to support the ongoing recovery and survival of the city’s smallest and" welfare
